 C, MCS, D
  0.4000000     ,          30 ,  0.1269167    
  0.4000000     ,          31 ,  0.1306149    
  0.4000000     ,          32 ,  0.1376318    
  0.4000000     ,          33 ,  0.1275852    
  0.4000000     ,          34 ,  0.1285179    
  0.4000000     ,          35 ,  0.1309665    
  0.4000000     ,          36 ,  0.1283073    
  0.4000000     ,          37 ,  0.1288387    
  0.4000000     ,          38 ,  0.1270395    
  0.4000000     ,          39 ,  0.1288061    
  0.4000000     ,          40 ,  0.1264492    
  0.4000000     ,          41 ,  0.1313148    
  0.4000000     ,          42 ,  0.1313170    
  0.4000000     ,          43 ,  0.1286265    
  0.4000000     ,          44 ,  0.1283292    
  0.4000000     ,          45 ,  0.1298333    
  0.4000000     ,          46 ,  0.1341423    
  0.4000000     ,          47 ,  0.1319997    
  0.4000000     ,          48 ,  0.1302034    
  0.4000000     ,          49 ,  0.1305277    
  0.4000000     ,          50 ,  0.1295859    
  0.5000000     ,           1 ,  0.1261250    
  0.5000000     ,           2 ,  0.1196250    
  0.5000000     ,           3 ,  0.1164583    
  0.5000000     ,           4 ,  0.1144844    
  0.5000000     ,           5 ,  0.1119750    
  0.5000000     ,           6 ,  0.1103646    
  0.5000000     ,           7 ,  0.1113393    
  0.5000000     ,           8 ,  0.1123516    
  0.5000000     ,           9 ,  0.1094444    
  0.5000000     ,          10 ,  0.1120500    
  0.5000000     ,          11 ,  0.1108750    
  0.5000000     ,          12 ,  0.1094167    
  0.5000000     ,          13 ,  0.1049423    
  0.5000000     ,          14 ,  0.1120625    
  0.5000000     ,          15 ,  0.1090917    
  0.5000000     ,          16 ,  0.1083281    
  0.5000000     ,          17 ,  0.1060515    
  0.5000000     ,          18 ,  0.1072083    
  0.5000000     ,          19 ,  0.1040855    
  0.5000000     ,          20 ,  0.1029437    
  0.5000000     ,          21 ,  0.1066101    
  0.5000000     ,          22 ,  0.1053494    
  0.5000000     ,          23 ,  0.1050353    
  0.5000000     ,          24 ,  0.1020313    
  0.5000000     ,          25 ,  0.1055475    
  0.5000000     ,          26 ,  0.1069663    
  0.5000000     ,          27 ,  0.1030301    
  0.5000000     ,          28 ,  0.1031562    
  0.5000000     ,          29 ,  0.1053341    
  0.5000000     ,          30 ,  0.1053896    
  0.5000000     ,          31 ,  0.1047722    
  0.5000000     ,          32 ,  0.1043457    
  0.5000000     ,          33 ,  0.1026970    
  0.5000000     ,          34 ,  0.1043033    
  0.5000000     ,          35 ,  0.1021268    
  0.5000000     ,          36 ,  0.1053906    
  0.5000000     ,          37 ,  0.1027838    
  0.5000000     ,          38 ,  0.1069786    
  0.5000000     ,          39 ,  0.1064359    
  0.5000000     ,          40 ,  0.1034531    
  0.5000000     ,          41 ,  0.1020534    
  0.5000000     ,          42 ,  0.1063735    
  0.5000000     ,          43 ,  0.1039593    
  0.5000000     ,          44 ,  0.1032457    
  0.5000000     ,          45 ,  0.1026333    
  0.5000000     ,          46 ,  0.1062677    
  0.5000000     ,          47 ,  0.1021755    
  0.5000000     ,          48 ,  0.1058672    
  0.5000000     ,          49 ,  0.1041365    
  0.5000000     ,          50 ,  0.1015775    
  0.6000000     ,           1 ,  0.1002604    
  0.6000000     ,           2 ,  9.4973966E-02
  0.6000000     ,           3 ,  9.3177080E-02
  0.6000000     ,           4 ,  8.9127608E-02
  0.6000000     ,           5 ,  8.6697921E-02
  0.6000000     ,           6 ,  8.7178819E-02
  0.6000000     ,           7 ,  8.6964294E-02
  0.6000000     ,           8 ,  8.4804676E-02
  0.6000000     ,           9 ,  8.4646985E-02
  0.6000000     ,          10 ,  8.6088546E-02
  0.6000000     ,          11 ,  8.3920449E-02
  0.6000000     ,          12 ,  8.4709197E-02
  0.6000000     ,          13 ,  8.3153047E-02
  0.6000000     ,          14 ,  8.3407745E-02
  0.6000000     ,          15 ,  8.1795141E-02
  0.6000000     ,          16 ,  8.1959628E-02
  0.6000000     ,          17 ,  8.0919109E-02
  0.6000000     ,          18 ,  8.0862269E-02
  0.6000000     ,          19 ,  8.2828946E-02
  0.6000000     ,          20 ,  8.3382808E-02
  0.6000000     ,          21 ,  8.0992073E-02
  0.6000000     ,          22 ,  8.5672349E-02
  0.6000000     ,          23 ,  8.1229627E-02
  0.6000000     ,          24 ,  8.1697039E-02
  0.6000000     ,          25 ,  8.0650002E-02
  0.6000000     ,          26 ,  8.0679089E-02
  0.6000000     ,          27 ,  8.1143901E-02
  0.6000000     ,          28 ,  7.9233631E-02
  0.6000000     ,          29 ,  8.1752874E-02
  0.6000000     ,          30 ,  8.1248261E-02
  0.6000000     ,          31 ,  7.7605851E-02
  0.6000000     ,          32 ,  7.9759121E-02
  0.6000000     ,          33 ,  8.2124375E-02
  0.6000000     ,          34 ,  8.0453441E-02
  0.6000000     ,          35 ,  8.0825888E-02
  0.6000000     ,          36 ,  7.7978879E-02
  0.6000000     ,          37 ,  7.8724660E-02
  0.6000000     ,          38 ,  7.8379937E-02
  0.6000000     ,          39 ,  7.9379007E-02
  0.6000000     ,          40 ,  8.0374993E-02
  0.6000000     ,          41 ,  7.9131104E-02
  0.6000000     ,          42 ,  7.8673117E-02
  0.6000000     ,          43 ,  8.1099808E-02
  0.6000000     ,          44 ,  7.8770116E-02
  0.6000000     ,          45 ,  7.7870376E-02
  0.6000000     ,          46 ,  8.0464214E-02
  0.6000000     ,          47 ,  7.8144953E-02
  0.6000000     ,          48 ,  8.1873916E-02
  0.6000000     ,          49 ,  7.9531252E-02
  0.6000000     ,          50 ,  8.0960415E-02
  0.7000000     ,           1 ,  7.5982146E-02
  0.7000000     ,           2 ,  6.9776788E-02
  0.7000000     ,           3 ,  6.5877974E-02
  0.7000000     ,           4 ,  6.5167412E-02
  0.7000000     ,           5 ,  6.5026782E-02
  0.7000000     ,           6 ,  6.4308040E-02
  0.7000000     ,           7 ,  6.2812492E-02
  0.7000000     ,           8 ,  6.0200892E-02
  0.7000000     ,           9 ,  6.2003970E-02
  0.7000000     ,          10 ,  5.9593737E-02
  0.7000000     ,          11 ,  6.1663963E-02
  0.7000000     ,          12 ,  6.1290920E-02
  0.7000000     ,          13 ,  6.1679251E-02
  0.7000000     ,          14 ,  6.0966197E-02
  0.7000000     ,          15 ,  5.8502972E-02
  0.7000000     ,          16 ,  5.8911838E-02
  0.7000000     ,          17 ,  5.7431720E-02
  0.7000000     ,          18 ,  6.0287699E-02
  0.7000000     ,          19 ,  5.8169648E-02
  0.7000000     ,          20 ,  5.9102684E-02
