k,m
91900,1.0
92000,0.96
92100,0.9
92200,0.88
92300,0.94
92400,1.0
92500,1.0
92600,0.94
92700,0.94
92800,0.94
92900,0.98
93000,1.0
93100,0.98
93200,1.0
93300,0.98
93400,1.0
93500,0.94
93600,1.0
93700,1.0
93800,0.98
93900,1.0
94000,1.0
94100,0.96
94200,0.94
94300,0.98
94400,0.94
94500,0.96
94600,1.0
94700,0.98
94800,0.92
94900,0.88
95000,0.96
95100,0.96
95200,0.98
95300,0.98
95400,0.98
95500,0.92
95600,1.0
95700,1.0
95800,0.96
95900,0.94
96000,1.0
96100,0.98
96200,0.96
96300,0.98
96400,1.0
96500,0.98
96600,0.94
96700,0.9
96800,0.98
96900,0.92
97000,1.0
97100,0.96
97200,0.96
97300,0.86
97400,0.94
97500,0.98
97600,0.98
97700,1.0
97800,1.0
97900,0.98
98000,0.98
98100,1.0
98200,0.92
98300,1.0
98400,0.96
98500,0.98
98600,0.98
98700,0.88
98800,0.98
98900,1.0
99000,0.98
99100,1.0
99200,0.92
99300,0.94
99400,0.98
99500,1.0
99600,0.98
99700,1.0
99800,0.96
99900,0.9
100000,1.0
100100,0.92
100200,0.98
100300,1.0
100400,0.9
100500,1.0
100600,0.98
100700,1.0
100800,0.98
100900,0.98
101000,1.0
101100,0.98
101200,0.96
101300,0.98
101400,1.0
101500,0.98
101600,0.96
101700,0.94
101800,1.0
101900,1.0
102000,1.0
102100,0.82
102200,1.0
102300,0.94
102400,1.0
102500,0.94
102600,0.92
102700,0.98
102800,1.0
102900,1.0
103000,0.98
103100,0.98
103200,0.94
103300,0.98
103400,0.84
103500,1.0
103600,0.98
103700,0.96
103800,1.0
103900,0.98
104000,1.0
104100,0.96
104200,0.94
104300,0.92
104400,1.0
104500,1.0
104600,0.96
104700,1.0
104800,0.98
104900,0.98
105000,1.0
105100,0.96
105200,0.96
105300,0.98
105400,0.98
105500,0.96
105600,0.98
105700,1.0
105800,1.0
105900,0.98
106000,0.96
106100,0.96
106200,0.98
106300,0.96
106400,0.88
106500,1.0
106600,0.94
106700,1.0
106800,1.0
106900,0.98
107000,0.96
107100,0.9
107200,1.0
107300,0.96
107400,0.92
107500,0.96
107600,0.98
107700,0.98
107800,1.0
107900,1.0
108000,0.96
108100,0.88
108200,0.98
108300,0.98
108400,0.94
108500,0.98
108600,0.98
108700,1.0
108800,0.98
108900,1.0
109000,0.98
109100,0.96
109200,0.98
109300,1.0
109400,0.94
109500,0.98
109600,1.0
109700,0.92
109800,0.98
109900,0.98
110000,1.0
110100,1.0
110200,1.0
110300,1.0
110400,0.98
110500,0.98
110600,0.96
110700,0.92
110800,1.0
110900,0.98
111000,0.94
111100,0.94
111200,0.94
111300,0.98
111400,0.94
111500,0.9
111600,1.0
111700,1.0
111800,0.96
111900,0.98
112000,0.84
112100,0.96
112200,0.96
112300,0.98
112400,0.98
112500,0.96
112600,1.0
112700,0.98
112800,0.98
112900,0.98
113000,1.0
113100,0.96
113200,1.0
113300,0.98
113400,0.98
113500,0.96
113600,0.98
113700,1.0
113800,0.96
113900,0.96
114000,0.98
114100,0.98
114200,0.98
114300,0.9
114400,0.98
114500,0.96
114600,0.96
114700,0.96
114800,1.0
114900,0.98
115000,1.0
115100,0.88
115200,0.94
115300,0.94
115400,0.98
115500,0.98
115600,0.9
115700,0.92
115800,0.94
115900,1.0
116000,0.92
116100,0.98
116200,1.0
116300,0.96
116400,1.0
116500,0.9
116600,1.0
116700,0.98
116800,1.0
116900,1.0
117000,0.96
117100,0.96
117200,0.98
117300,0.94
117400,0.98
117500,0.94
117600,0.98
117700,0.94
117800,0.98
117900,1.0
118000,1.0
118100,0.98
118200,0.98
118300,0.98
118400,0.96
118500,0.98
118600,1.0
118700,1.0
118800,0.98
118900,0.92
119000,0.98
119100,0.96
119200,0.96
119300,1.0
119400,0.94
119500,0.96
119600,0.98
119700,0.96
119800,0.92
119900,1.0
120000,1.0
120100,1.0
120200,1.0
120300,1.0
120400,0.98
120500,0.98
120600,0.98
120700,0.94
120800,0.98
120900,1.0
121000,0.98
121100,0.8
121200,0.96
121300,1.0
121400,0.98
121500,0.96
121600,0.98
121700,1.0
121800,0.94
121900,1.0
122000,1.0
122100,0.98
122200,0.98
122300,1.0
122400,0.92
122500,0.98
122600,1.0
122700,1.0
122800,0.98
122900,0.98
123000,0.96
123100,0.98
123200,1.0
123300,0.98
123400,0.92
123500,0.98
123600,0.96
123700,0.98
123800,0.96
123900,0.94
124000,1.0
124100,1.0
124200,0.96
124300,1.0
124400,1.0
124500,0.92
124600,0.98
124700,0.98
124800,0.88
124900,0.96
125000,1.0
125100,0.98
125200,0.92
125300,0.98
125400,0.96
125500,0.94
125600,0.98
125700,1.0
125800,0.98
125900,0.96
126000,0.82
126100,0.96
126200,0.98
126300,1.0
126400,0.98
126500,0.98
126600,0.98
126700,0.98
126800,1.0
126900,1.0
127000,0.92
127100,0.98
127200,0.98
127300,1.0
127400,0.98
127500,1.0
127600,0.96
127700,0.94
127800,1.0
127900,1.0
128000,0.96
128100,0.98
128200,1.0
128300,0.96
128400,0.9
128500,1.0
128600,1.0
128700,1.0
128800,0.96
128900,0.98
129000,0.94
129100,0.98
129200,1.0
129300,0.98
129400,0.96
129500,0.9
129600,0.98
129700,0.98
129800,0.98
129900,0.92
130000,1.0
130100,0.96
130200,0.98
130300,0.92
130400,0.96
130500,0.98
130600,0.94
130700,1.0
130800,0.94
130900,1.0
131000,0.98
131100,1.0
131200,0.94
131300,1.0
131400,1.0
131500,1.0
131600,1.0
131700,1.0
131800,0.96
131900,0.94
132000,1.0
132100,1.0
132200,1.0
132300,0.94
132400,0.96
