 MCS,m,L
      315000 ,  0.9800000     ,          10
      316000 ,  0.9800000     ,          10
      317000 ,  0.9000000     ,          10
      318000 ,  0.8600000     ,          10
      319000 ,   1.000000     ,          10
      320000 ,  0.9400000     ,          10
      321000 ,  0.9600000     ,          10
      322000 ,  0.9800000     ,          10
      323000 ,   1.000000     ,          10
      324000 ,   1.000000     ,          10
      325000 ,   1.000000     ,          10
      326000 ,   1.000000     ,          10
      327000 ,  0.9800000     ,          10
      328000 ,  0.9800000     ,          10
      329000 ,   1.000000     ,          10
      330000 ,  0.9800000     ,          10
      331000 ,  0.9800000     ,          10
      332000 ,  0.9200000     ,          10
      333000 ,  0.9200000     ,          10
      334000 ,  0.9600000     ,          10
      335000 ,  0.9800000     ,          10
      336000 ,  0.9800000     ,          10
      337000 ,  0.9800000     ,          10
      338000 ,   1.000000     ,          10
      339000 ,  0.9800000     ,          10
      340000 ,  0.9800000     ,          10
      341000 ,  0.9800000     ,          10
      342000 ,   1.000000     ,          10
      343000 ,  0.9600000     ,          10
      344000 ,  0.9600000     ,          10
      345000 ,  0.9200000     ,          10
      346000 ,  0.9800000     ,          10
      347000 ,  0.8800000     ,          10
      348000 ,   1.000000     ,          10
      349000 ,  0.9600000     ,          10
      350000 ,   1.000000     ,          10
      351000 ,  0.9600000     ,          10
      352000 ,  0.9600000     ,          10
      353000 ,  0.9600000     ,          10
      354000 ,  0.9600000     ,          10
      355000 ,  0.9400000     ,          10
      356000 ,   1.000000     ,          10
      357000 ,   1.000000     ,          10
      358000 ,  0.9800000     ,          10
      359000 ,   1.000000     ,          10
      360000 ,  0.9600000     ,          10
      361000 ,  0.9400000     ,          10
      362000 ,  0.9800000     ,          10
      363000 ,   1.000000     ,          10
      364000 ,  0.8800000     ,          10
      365000 ,  0.9400000     ,          10
      366000 ,   1.000000     ,          10
      367000 ,  0.9400000     ,          10
      368000 ,   1.000000     ,          10
      369000 ,  0.9400000     ,          10
      370000 ,  0.9800000     ,          10
      371000 ,   1.000000     ,          10
      372000 ,  0.9200000     ,          10
      373000 ,  0.9600000     ,          10
      374000 ,   1.000000     ,          10
      375000 ,   1.000000     ,          10
      376000 ,  0.9400000     ,          10
      377000 ,  0.9800000     ,          10
      378000 ,  0.8800000     ,          10
      379000 ,   1.000000     ,          10
      380000 ,  0.9800000     ,          10
      381000 ,   1.000000     ,          10
      382000 ,   1.000000     ,          10
      383000 ,  0.9600000     ,          10
      384000 ,  0.9400000     ,          10
      385000 ,  0.9800000     ,          10
      386000 ,  0.9800000     ,          10
      387000 ,  0.9800000     ,          10
      388000 ,  0.9400000     ,          10
      389000 ,  0.9800000     ,          10
      390000 ,  0.9800000     ,          10
      391000 ,   1.000000     ,          10
      392000 ,  0.9400000     ,          10
      393000 ,  0.9400000     ,          10
      394000 ,   1.000000     ,          10
      395000 ,  0.9600000     ,          10
      396000 ,  0.9400000     ,          10
      397000 ,  0.9400000     ,          10
      398000 ,  0.9600000     ,          10
      399000 ,  0.9400000     ,          10
      400000 ,  0.9400000     ,          10
      401000 ,  0.9800000     ,          10
      402000 ,  0.9800000     ,          10
      403000 ,  0.9400000     ,          10
      404000 ,  0.9800000     ,          10
      405000 ,  0.9800000     ,          10
      406000 ,  0.9000000     ,          10
      407000 ,  0.9400000     ,          10
      408000 ,  0.9800000     ,          10
      409000 ,   1.000000     ,          10
      410000 ,  0.9200000     ,          10
      411000 ,   1.000000     ,          10
      412000 ,  0.9800000     ,          10
      413000 ,   1.000000     ,          10
      414000 ,  0.9600000     ,          10
      415000 ,   1.000000     ,          10
      416000 ,   1.000000     ,          10
      417000 ,  0.9600000     ,          10
      418000 ,  0.9800000     ,          10
      419000 ,  0.9600000     ,          10
      420000 ,  0.9800000     ,          10
      421000 ,  0.9000000     ,          10
      422000 ,  0.9600000     ,          10
      423000 ,  0.9800000     ,          10
      424000 ,  0.9200000     ,          10
      425000 ,  0.9600000     ,          10
      426000 ,  0.9800000     ,          10
      427000 ,   1.000000     ,          10
      428000 ,   1.000000     ,          10
      429000 ,   1.000000     ,          10
      430000 ,  0.8800000     ,          10
      431000 ,  0.9600000     ,          10
      432000 ,  0.8800000     ,          10
      433000 ,  0.9200000     ,          10
      434000 ,  0.9800000     ,          10
      435000 ,   1.000000     ,          10
      436000 ,  0.9800000     ,          10
      437000 ,  0.9400000     ,          10
      438000 ,  0.9800000     ,          10
      439000 ,  0.9800000     ,          10
      440000 ,   1.000000     ,          10
      441000 ,   1.000000     ,          10
      442000 ,   1.000000     ,          10
      443000 ,  0.9600000     ,          10
      444000 ,  0.9600000     ,          10
      445000 ,   1.000000     ,          10
      446000 ,  0.9400000     ,          10
      447000 ,  0.9000000     ,          10
      448000 ,   1.000000     ,          10
      449000 ,   1.000000     ,          10
      450000 ,  0.9800000     ,          10
      451000 ,  0.9800000     ,          10
      452000 ,  0.9200000     ,          10
      453000 ,  0.9600000     ,          10
      454000 ,   1.000000     ,          10
      455000 ,   1.000000     ,          10
      456000 ,  0.8800000     ,          10
      457000 ,   1.000000     ,          10
      458000 ,  0.9800000     ,          10
      459000 ,   1.000000     ,          10
      460000 ,  0.9800000     ,          10
      461000 ,  0.9800000     ,          10
      462000 ,  0.9800000     ,          10
      463000 ,  0.9600000     ,          10
      464000 ,  0.9800000     ,          10
      465000 ,  0.9600000     ,          10
      466000 ,  0.9600000     ,          10
      467000 ,  0.9600000     ,          10
      468000 ,   1.000000     ,          10
      469000 ,  0.9400000     ,          10
      470000 ,  0.9600000     ,          10
      471000 ,   1.000000     ,          10
      472000 ,  0.9800000     ,          10
      473000 ,  0.9800000     ,          10
      474000 ,  0.6800000     ,          10
      475000 ,  0.9800000     ,          10
      476000 ,   1.000000     ,          10
      477000 ,  0.9600000     ,          10
      478000 ,   1.000000     ,          10
      479000 ,  0.9800000     ,          10
      480000 ,   1.000000     ,          10
      481000 ,  0.9600000     ,          10
      482000 ,   1.000000     ,          10
      483000 ,  0.9800000     ,          10
      484000 ,  0.9400000     ,          10
      485000 ,  0.9800000     ,          10
      486000 ,  0.9200000     ,          10
      487000 ,  0.9800000     ,          10
      488000 ,  0.9400000     ,          10
      489000 ,  0.9800000     ,          10
      490000 ,  0.9600000     ,          10
      491000 ,  0.9400000     ,          10
      492000 ,   1.000000     ,          10
      493000 ,   1.000000     ,          10
      494000 ,  0.9400000     ,          10
      495000 ,  0.9800000     ,          10
      496000 ,   1.000000     ,          10
      497000 ,   1.000000     ,          10
      498000 ,  0.9800000     ,          10
      499000 ,   1.000000     ,          10
      500000 ,  0.9800000     ,          10
      501000 ,   1.000000     ,          10
      502000 ,  0.6800000     ,          10
      503000 ,  0.9600000     ,          10
      504000 ,  0.9800000     ,          10
      505000 ,  0.9800000     ,          10
      506000 ,  0.9800000     ,          10
      507000 ,  0.9800000     ,          10
      508000 ,  0.9800000     ,          10
      509000 ,   1.000000     ,          10
      510000 ,   1.000000     ,          10
      511000 ,  0.9600000     ,          10
      512000 ,   1.000000     ,          10
      513000 ,  0.9800000     ,          10
      514000 ,  0.9400000     ,          10
      515000 ,  0.9600000     ,          10
      516000 ,   1.000000     ,          10
      517000 ,  0.9800000     ,          10
      518000 ,   1.000000     ,          10
      519000 ,  0.9400000     ,          10
      520000 ,   1.000000     ,          10
      521000 ,  0.9600000     ,          10
      522000 ,   1.000000     ,          10
      523000 ,   1.000000     ,          10
      524000 ,  0.9800000     ,          10
      525000 ,  0.9600000     ,          10
      526000 ,  0.9400000     ,          10
      527000 ,   1.000000     ,          10
      528000 ,  0.9800000     ,          10
      529000 ,   1.000000     ,          10
      530000 ,   1.000000     ,          10
      531000 ,  0.9600000     ,          10
      532000 ,  0.9800000     ,          10
      533000 ,   1.000000     ,          10
      534000 ,  0.9800000     ,          10
      535000 ,  0.9600000     ,          10
      536000 ,  0.9600000     ,          10
      537000 ,  0.9600000     ,          10
      538000 ,   1.000000     ,          10
      539000 ,  0.9800000     ,          10
      540000 ,   1.000000     ,          10
      541000 ,   1.000000     ,          10
      542000 ,   1.000000     ,          10
      543000 ,  0.9600000     ,          10
      544000 ,   1.000000     ,          10
      545000 ,  0.9800000     ,          10
      546000 ,   1.000000     ,          10
      547000 ,  0.9800000     ,          10
      548000 ,  0.9800000     ,          10
      549000 ,   1.000000     ,          10
      550000 ,   1.000000     ,          10
      551000 ,  0.9800000     ,          10
      552000 ,  0.9400000     ,          10
      553000 ,   1.000000     ,          10
      554000 ,   1.000000     ,          10
      555000 ,   1.000000     ,          10
      556000 ,   1.000000     ,          10
      557000 ,  0.9800000     ,          10
      558000 ,  0.9800000     ,          10
      559000 ,   1.000000     ,          10
      560000 ,  0.9800000     ,          10
      561000 ,  0.9400000     ,          10
      562000 ,  0.9600000     ,          10
      563000 ,  0.9600000     ,          10
      564000 ,   1.000000     ,          10
      565000 ,   1.000000     ,          10
      566000 ,   1.000000     ,          10
      567000 ,  0.9800000     ,          10
      568000 ,   1.000000     ,          10
      569000 ,   1.000000     ,          10
      570000 ,  0.9400000     ,          10
      571000 ,   1.000000     ,          10
      572000 ,  0.9600000     ,          10
      573000 ,  0.9400000     ,          10
      574000 ,   1.000000     ,          10
      575000 ,   1.000000     ,          10
      576000 ,  0.9400000     ,          10
      577000 ,   1.000000     ,          10
      578000 ,  0.9200000     ,          10
      579000 ,   1.000000     ,          10
      580000 ,   1.000000     ,          10
      581000 ,   1.000000     ,          10
      582000 ,   1.000000     ,          10
      583000 ,  0.9800000     ,          10
      584000 ,  0.9600000     ,          10
      585000 ,   1.000000     ,          10
      586000 ,  0.9800000     ,          10
      587000 ,  0.9400000     ,          10
      588000 ,  0.9400000     ,          10
      589000 ,  0.9800000     ,          10
      590000 ,  0.9000000     ,          10
      591000 ,  0.9600000     ,          10
      592000 ,  0.9600000     ,          10
      593000 ,  0.9600000     ,          10
      594000 ,  0.8800000     ,          10
      595000 ,   1.000000     ,          10
      596000 ,  0.9800000     ,          10
      597000 ,   1.000000     ,          10
      598000 ,  0.8800000     ,          10
      599000 ,  0.9800000     ,          10
      600000 ,  0.9600000     ,          10
      601000 ,  0.9800000     ,          10
      602000 ,  0.9800000     ,          10
      603000 ,  0.9800000     ,          10
      604000 ,  0.9800000     ,          10
      605000 ,  0.9800000     ,          10
      606000 ,  0.9800000     ,          10
      607000 ,  0.9400000     ,          10
      608000 ,  0.9600000     ,          10
      609000 ,  0.9600000     ,          10
      610000 ,  0.9600000     ,          10
      611000 ,   1.000000     ,          10
      612000 ,  0.9800000     ,          10
      613000 ,  0.9800000     ,          10
      614000 ,   1.000000     ,          10
      615000 ,  0.9800000     ,          10
      616000 ,   1.000000     ,          10
      617000 ,  0.9800000     ,          10
      618000 ,  0.9800000     ,          10
      619000 ,   1.000000     ,          10
      620000 ,   1.000000     ,          10
      621000 ,   1.000000     ,          10
      622000 ,   1.000000     ,          10
      623000 ,  0.9600000     ,          10
      624000 ,  0.9800000     ,          10
      625000 ,   1.000000     ,          10
      626000 ,   1.000000     ,          10
      627000 ,  0.9600000     ,          10
      628000 ,  0.9400000     ,          10
      629000 ,  0.9200000     ,          10
      630000 ,  0.9800000     ,          10
      631000 ,   1.000000     ,          10
      632000 ,  0.8600000     ,          10
      633000 ,  0.9400000     ,          10
      634000 ,  0.9200000     ,          10
      635000 ,  0.9400000     ,          10
      636000 ,  0.9800000     ,          10
      637000 ,  0.9800000     ,          10
      638000 ,   1.000000     ,          10
      639000 ,   1.000000     ,          10
      640000 ,  0.9800000     ,          10
      641000 ,  0.9800000     ,          10
      642000 ,  0.9200000     ,          10
      643000 ,   1.000000     ,          10
      644000 ,   1.000000     ,          10
      645000 ,   1.000000     ,          10
      646000 ,  0.9800000     ,          10
      647000 ,  0.9600000     ,          10
      648000 ,  0.9800000     ,          10
      649000 ,  0.9600000     ,          10
      650000 ,   1.000000     ,          10
      651000 ,  0.9600000     ,          10
      652000 ,  0.8800000     ,          10
      653000 ,   1.000000     ,          10
      654000 ,   1.000000     ,          10
      655000 ,  0.9800000     ,          10
      656000 ,  0.9600000     ,          10
      657000 ,  0.9200000     ,          10
      658000 ,   1.000000     ,          10
      659000 ,  0.9400000     ,          10
      660000 ,  0.9800000     ,          10
      661000 ,   1.000000     ,          10
      662000 ,  0.9400000     ,          10
      663000 ,  0.9800000     ,          10
      664000 ,  0.9800000     ,          10
      665000 ,   1.000000     ,          10
      666000 ,   1.000000     ,          10
      667000 ,  0.9400000     ,          10
      668000 ,  0.9600000     ,          10
      669000 ,  0.9800000     ,          10
      670000 ,  0.9200000     ,          10
      671000 ,  0.9400000     ,          10
      672000 ,  0.9600000     ,          10
      673000 ,   1.000000     ,          10
      674000 ,   1.000000     ,          10
      675000 ,  0.9600000     ,          10
      676000 ,  0.9800000     ,          10
      677000 ,   1.000000     ,          10
      678000 ,  0.9600000     ,          10
      679000 ,   1.000000     ,          10
      680000 ,   1.000000     ,          10
      681000 ,   1.000000     ,          10
      682000 ,  0.9600000     ,          10
      683000 ,  0.9800000     ,          10
      684000 ,  0.9800000     ,          10
      685000 ,   1.000000     ,          10
      686000 ,  0.9600000     ,          10
      687000 ,  0.9000000     ,          10
      688000 ,  0.9800000     ,          10
      689000 ,   1.000000     ,          10
      690000 ,   1.000000     ,          10
      691000 ,  0.9800000     ,          10
      692000 ,   1.000000     ,          10
      693000 ,  0.9400000     ,          10
      694000 ,  0.9600000     ,          10
      695000 ,  0.9800000     ,          10
      696000 ,  0.9400000     ,          10
      697000 ,   1.000000     ,          10
      698000 ,  0.9600000     ,          10
      699000 ,  0.9400000     ,          10
      700000 ,   1.000000     ,          10
      701000 ,  0.9800000     ,          10
      702000 ,  0.9200000     ,          10
      703000 ,  0.8800000     ,          10
      704000 ,  0.9800000     ,          10
      705000 ,  0.9600000     ,          10
      706000 ,   1.000000     ,          10
      707000 ,  0.9600000     ,          10
      708000 ,  0.9600000     ,          10
      709000 ,  0.9800000     ,          10
      710000 ,   1.000000     ,          10
      711000 ,  0.9400000     ,          10
      712000 ,  0.9600000     ,          10
      713000 ,   1.000000     ,          10
      714000 ,  0.9800000     ,          10
      715000 ,   1.000000     ,          10
      716000 ,   1.000000     ,          10
      717000 ,   1.000000     ,          10
      718000 ,  0.9600000     ,          10
      719000 ,  0.9600000     ,          10
      720000 ,   1.000000     ,          10
      721000 ,   1.000000     ,          10
      722000 ,  0.8800000     ,          10
      723000 ,   1.000000     ,          10
      724000 ,  0.9200000     ,          10
      725000 ,  0.9600000     ,          10
      726000 ,  0.9400000     ,          10
      727000 ,  0.9400000     ,          10
      728000 ,  0.9800000     ,          10
      729000 ,  0.9800000     ,          10
      730000 ,  0.9800000     ,          10
      731000 ,  0.9400000     ,          10
      732000 ,   1.000000     ,          10
      733000 ,  0.9200000     ,          10
      734000 ,  0.9800000     ,          10
      735000 ,   1.000000     ,          10
      736000 ,  0.9800000     ,          10
      737000 ,   1.000000     ,          10
      738000 ,  0.9800000     ,          10
      739000 ,  0.9400000     ,          10
      740000 ,  0.9800000     ,          10
      741000 ,  0.9800000     ,          10
      742000 ,   1.000000     ,          10
      743000 ,   1.000000     ,          10
      744000 ,   1.000000     ,          10
      745000 ,  0.9600000     ,          10
      746000 ,   1.000000     ,          10
      747000 ,   1.000000     ,          10
      748000 ,   1.000000     ,          10
      749000 ,  0.9200000     ,          10
      750000 ,  0.9600000     ,          10
      751000 ,  0.9200000     ,          10
      752000 ,   1.000000     ,          10
      753000 ,  0.9600000     ,          10
      754000 ,  0.9800000     ,          10
      755000 ,  0.9600000     ,          10
      756000 ,  0.8400000     ,          10
      757000 ,   1.000000     ,          10
      758000 ,  0.9800000     ,          10
      759000 ,  0.9400000     ,          10
      760000 ,  0.9400000     ,          10
      761000 ,   1.000000     ,          10
      762000 ,   1.000000     ,          10
      763000 ,  0.9800000     ,          10
      764000 ,  0.9400000     ,          10
      765000 ,   1.000000     ,          10
      766000 ,  0.9600000     ,          10
      767000 ,  0.9800000     ,          10
      768000 ,   1.000000     ,          10
      769000 ,  0.9600000     ,          10
      770000 ,  0.9600000     ,          10
      771000 ,  0.8600000     ,          10
      772000 ,   1.000000     ,          10
      773000 ,   1.000000     ,          10
      774000 ,   1.000000     ,          10
      775000 ,  0.9600000     ,          10
      776000 ,  0.9800000     ,          10
      777000 ,   1.000000     ,          10
      778000 ,   1.000000     ,          10
      779000 ,  0.9800000     ,          10
      780000 ,  0.9800000     ,          10
      781000 ,   1.000000     ,          10
      782000 ,  0.9600000     ,          10
      783000 ,   1.000000     ,          10
      784000 ,  0.9600000     ,          10
      785000 ,  0.9400000     ,          10
      786000 ,  0.9400000     ,          10
      787000 ,   1.000000     ,          10
      788000 ,   1.000000     ,          10
      789000 ,   1.000000     ,          10
      790000 ,  0.9600000     ,          10
      791000 ,   1.000000     ,          10
      792000 ,   1.000000     ,          10
      793000 ,  0.9600000     ,          10
      794000 ,  0.9400000     ,          10
      795000 ,   1.000000     ,          10
      796000 ,  0.9800000     ,          10
      797000 ,   1.000000     ,          10
      798000 ,  0.9600000     ,          10
      799000 ,   1.000000     ,          10
      800000 ,  0.9800000     ,          10
      801000 ,   1.000000     ,          10
      802000 ,  0.9800000     ,          10
      803000 ,  0.9400000     ,          10
      804000 ,  0.8800000     ,          10
      805000 ,  0.9600000     ,          10
      806000 ,  0.9800000     ,          10
      807000 ,   1.000000     ,          10
      808000 ,   1.000000     ,          10
      809000 ,  0.9800000     ,          10
      810000 ,  0.9800000     ,          10
      811000 ,   1.000000     ,          10
      812000 ,  0.9400000     ,          10
      813000 ,   1.000000     ,          10
      814000 ,   1.000000     ,          10
      815000 ,  0.9800000     ,          10
      816000 ,  0.9800000     ,          10
      817000 ,  0.9800000     ,          10
      818000 ,  0.9600000     ,          10
      819000 ,  0.9400000     ,          10
