 T, m
   2.146200     ,  0.8402566    
   2.148000     ,  0.8368863    
   2.149800     ,  0.8346559    
   2.151600     ,  0.8332725    
   2.153400     ,  0.8295839    
   2.155200     ,  0.8322829    
   2.157000     ,  0.8287938    
   2.158800     ,  0.8305542    
   2.160600     ,  0.8263013    
   2.162400     ,  0.8249967    
   2.164200     ,  0.8225552    
   2.166000     ,  0.8197942    
   2.167800     ,  0.8195854    
   2.169600     ,  0.8183409    
   2.171400     ,  0.8180831    
   2.173200     ,  0.8145511    
   2.175000     ,  0.8150135    
   2.176800     ,  0.8125088    
   2.178600     ,  0.8096595    
   2.180400     ,  0.8068686    
   2.182200     ,  0.8069378    
   2.184000     ,  0.8048161    
   2.185800     ,  0.8050991    
   2.187600     ,  0.7992732    
   2.189400     ,  0.7971457    
   2.191200     ,  0.7982978    
   2.193000     ,  0.7937902    
   2.194800     ,  0.7937042    
   2.196600     ,  0.7933025    
   2.198400     ,  0.7884764    
   2.200200     ,  0.7867881    
   2.202000     ,  0.7816571    
   2.203800     ,  0.7816239    
   2.205600     ,  0.7803005    
   2.207400     ,  0.7791314    
   2.209200     ,  0.7772235    
   2.211000     ,  0.7742061    
   2.212800     ,  0.7691939    
   2.214600     ,  0.7674029    
   2.216400     ,  0.7670968    
   2.218200     ,  0.7637994    
   2.220000     ,  0.7649167    
   2.221800     ,  0.7592888    
   2.223600     ,  0.7548147    
   2.225400     ,  0.7516459    
   2.227200     ,  0.7505098    
   2.229000     ,  0.7444769    
   2.230800     ,  0.7435526    
   2.232600     ,  0.7419810    
   2.234400     ,  0.7378559    
   2.236200     ,  0.7323164    
   2.238000     ,  0.7315137    
   2.239800     ,  0.7270027    
   2.241600     ,  0.7256712    
   2.243400     ,  0.7234502    
   2.245200     ,  0.7200720    
   2.247000     ,  0.7212822    
   2.248800     ,  0.7158325    
   2.250600     ,  0.7105771    
   2.252400     ,  0.7055300    
   2.254200     ,  0.7021742    
   2.256000     ,  0.6978387    
   2.257800     ,  0.6945816    
   2.259600     ,  0.6974087    
   2.261400     ,  0.6910850    
   2.263200     ,  0.6901072    
   2.265000     ,  0.6870683    
   2.266800     ,  0.6797434    
   2.268600     ,  0.6735444    
   2.270400     ,  0.6714168    
   2.272200     ,  0.6677711    
   2.274000     ,  0.6596549    
   2.275800     ,  0.6621802    
   2.277600     ,  0.6560937    
   2.279400     ,  0.6532170    
   2.281200     ,  0.6469820    
   2.283000     ,  0.6441554    
   2.284800     ,  0.6435916    
   2.286600     ,  0.6399399    
   2.288400     ,  0.6296359    
   2.290200     ,  0.6338392    
   2.292000     ,  0.6234297    
   2.293800     ,  0.6208939    
   2.295600     ,  0.6215013    
   2.297400     ,  0.6115708    
   2.299200     ,  0.6128758    
   2.301000     ,  0.6095939    
   2.302800     ,  0.5997853    
   2.304600     ,  0.5952997    
   2.306400     ,  0.5915473    
   2.308200     ,  0.5825014    
   2.310000     ,  0.5835933    
   2.311800     ,  0.5831935    
   2.313600     ,  0.5760917    
   2.315400     ,  0.5705723    
   2.317200     ,  0.5692734    
   2.319000     ,  0.5612471    
   2.320800     ,  0.5530210    
   2.322600     ,  0.5483150    
   2.324400     ,  0.5562457    
   2.326200     ,  0.5519671    
   2.328000     ,  0.5408157    
   2.329800     ,  0.5328192    
   2.331600     ,  0.5374762    
   2.333400     ,  0.5216985    
   2.335200     ,  0.5208929    
   2.337000     ,  0.5184828    
   2.338800     ,  0.5152385    
   2.340600     ,  0.5097939    
   2.342400     ,  0.5111269    
   2.344200     ,  0.4981192    
   2.346000     ,  0.5004039    
   2.347800     ,  0.4923854    
   2.349600     ,  0.4911383    
   2.351400     ,  0.4839783    
   2.353200     ,  0.4783260    
   2.355000     ,  0.4792455    
   2.356800     ,  0.4768887    
   2.358600     ,  0.4728696    
   2.360400     ,  0.4624111    
   2.362200     ,  0.4629113    
   2.364000     ,  0.4587417    
   2.365800     ,  0.4527155    
   2.367600     ,  0.4479696    
   2.369400     ,  0.4411327    
   2.371200     ,  0.4422561    
   2.373000     ,  0.4347340    
   2.374800     ,  0.4340867    
   2.376600     ,  0.4352515    
   2.378400     ,  0.4294770    
   2.380200     ,  0.4202552    
