 T, m, L
   3.466667     ,  7.9988763E-02 ,          25
   3.483334     ,  7.9829350E-02 ,          25
   3.500000     ,  7.9929210E-02 ,          25
   3.516667     ,  7.9068974E-02 ,          25
   3.533334     ,  7.8350469E-02 ,          25
   3.550000     ,  7.5678356E-02 ,          25
   3.566667     ,  7.7735275E-02 ,          25
   3.583333     ,  7.6386124E-02 ,          25
   3.600000     ,  7.6130897E-02 ,          25
   3.616667     ,  7.6879792E-02 ,          25
   3.633333     ,  7.4823275E-02 ,          25
   3.650000     ,  7.3648892E-02 ,          25
   3.666667     ,  7.4471958E-02 ,          25
   3.683334     ,  7.3124744E-02 ,          25
   3.700000     ,  7.3671475E-02 ,          25
   3.716667     ,  7.2351083E-02 ,          25
   3.733334     ,  7.1507983E-02 ,          25
   3.750000     ,  7.1351387E-02 ,          25
   3.766667     ,  7.1393028E-02 ,          25
   3.783334     ,  6.9838420E-02 ,          25
   3.800000     ,  6.8464309E-02 ,          25
   3.816667     ,  6.9806434E-02 ,          25
   3.833333     ,  6.9128022E-02 ,          25
   3.850000     ,  6.9769993E-02 ,          25
   3.866667     ,  6.8892576E-02 ,          25
   3.883333     ,  6.8962388E-02 ,          25
   3.900000     ,  6.6929616E-02 ,          25
   3.916667     ,  6.7760311E-02 ,          25
   3.933334     ,  6.8456627E-02 ,          25
   3.950000     ,  6.6173211E-02 ,          25
   3.966667     ,  6.7095496E-02 ,          25
   3.983334     ,  6.5670736E-02 ,          25
   4.000000     ,  6.5510191E-02 ,          25
   4.016667     ,  6.7019239E-02 ,          25
   4.033334     ,  6.4196974E-02 ,          25
   4.050000     ,  6.4754196E-02 ,          25
   4.066667     ,  6.5939486E-02 ,          25
   4.083333     ,  6.4920194E-02 ,          25
   4.100000     ,  6.4125143E-02 ,          25
   4.116667     ,  6.4635940E-02 ,          25
   4.133334     ,  6.4098336E-02 ,          25
   4.150000     ,  6.3605584E-02 ,          25
   4.166667     ,  6.2767781E-02 ,          25
   4.183333     ,  6.2209740E-02 ,          25
   4.200000     ,  6.2466383E-02 ,          25
   4.216667     ,  6.2635452E-02 ,          25
   4.233334     ,  6.2484901E-02 ,          25
   4.250000     ,  6.2117629E-02 ,          25
   4.266667     ,  6.0824096E-02 ,          25
   4.283334     ,  6.1724544E-02 ,          25
   4.300000     ,  6.1725236E-02 ,          25
   4.316667     ,  6.1936475E-02 ,          25
   4.333333     ,  6.1365534E-02 ,          25
   4.350000     ,  6.1110206E-02 ,          25
   4.366667     ,  6.1233617E-02 ,          25
   4.383334     ,  6.1444957E-02 ,          25
   4.400000     ,  6.0201544E-02 ,          25
   4.416667     ,  5.9571069E-02 ,          25
   4.433333     ,  5.9561357E-02 ,          25
   4.450000     ,  5.9477556E-02 ,          25
   4.466667     ,  6.0211495E-02 ,          25
   4.483334     ,  5.7860870E-02 ,          25
   4.500000     ,  5.7640776E-02 ,          25
   4.516667     ,  5.7724714E-02 ,          25
   4.533334     ,  5.7862215E-02 ,          25
   4.550000     ,  5.7531275E-02 ,          25
   4.566667     ,  5.9085179E-02 ,          25
   4.583333     ,  5.8583453E-02 ,          25
   4.600000     ,  5.7627905E-02 ,          25
   4.616667     ,  5.7649970E-02 ,          25
   4.633334     ,  5.7698369E-02 ,          25
   4.650000     ,  5.7107776E-02 ,          25
   4.666667     ,  5.5787403E-02 ,          25
   4.683333     ,  5.7185784E-02 ,          25
   4.700000     ,  5.8257099E-02 ,          25
   4.716667     ,  5.6333330E-02 ,          25
   4.733334     ,  5.5592198E-02 ,          25
   4.750000     ,  5.6090236E-02 ,          25
   4.766667     ,  5.5997327E-02 ,          25
   4.783334     ,  5.5906445E-02 ,          25
   4.800000     ,  5.5781025E-02 ,          25
   4.816667     ,  5.4732017E-02 ,          25
   4.833333     ,  5.5204317E-02 ,          25
   4.850000     ,  5.5377059E-02 ,          25
   4.866667     ,  5.5530757E-02 ,          25
   4.883334     ,  5.4458190E-02 ,          25
   4.900000     ,  5.4692376E-02 ,          25
   4.916667     ,  5.4338545E-02 ,          25
   4.933333     ,  5.3654350E-02 ,          25
   4.950000     ,  5.4164294E-02 ,          25
   4.966667     ,  5.4650050E-02 ,          25
   4.983334     ,  5.3290766E-02 ,          25
   5.000000     ,  5.3379018E-02 ,          25
